PATIENT_ID,CHEK1,CHEK2,ATM,ATR,BAD,BAX,RAD51,BCL2,BCL2L1,BRCA1,BRCA2,TP53,PALB2,BRIP1
TCGA-04-1331,4.5392,3.0698,1.035,1.0738,7.7297,19.2944,2.0687,1.9036,30.3452,2.7641,0.4911,3.7684,3.4377,5.3687
TCGA-04-1332,5.0701,5.7115,1.6226,0.7643,23.0521,18.156,5.7876,1.0333,39.0332,0.8429,0.603,34.4008,1.4767,0.6374
TCGA-04-1337,1.3885,2.0183,1.2066,1.2402,16.3723,19.675,1.7282,0.61,142.1604,0.6907,0.3692,25.103,2.1414,0.5157
TCGA-04-1338,3.9722,2.1924,1.6607,0.694,9.7485,24.5851,4.2154,0.4916,59.7109,1.5313,0.578,48.1514,2.1277,0.6371
TCGA-04-1341,3.2523,2.5584,0.5063,1.0638,22.5595,15.5242,4.1453,0.1988,67.8788,2.1453,0.3426,15.1007,2.1726,0.9726
TCGA-04-1343,3.4614,5.0479,1.2153,1.4542,60.8213,24.0961,1.6491,0.3447,67.9627,0.7182,0.2671,7.5709,2.15,0.2885
TCGA-04-1347,3.8735,4.9087,1.0479,0.8366,19.1379,22.1993,2.0649,0.8454,60.5039,0.9731,0.1711,47.2241,3.7353,0.6607
TCGA-04-1348,4.0267,4.6385,0.9523,1.3396,10.095,15.5999,13.2115,0.5171,51.6446,1.9065,1.7029,46.5612,4.2797,1.1501
TCGA-04-1350,7.0855,5.2368,2.4303,1.0315,18.7905,8.9571,2.1656,3.9556,50.2912,0.9889,0.8084,50.8309,2.0406,0.4884
TCGA-04-1356,4.0075,7.4712,1.1105,0.9438,14.7485,17.3696,6.3838,0.4031,39.4236,0.8184,1.2046,37.0039,4.2356,1.5402
TCGA-04-1357,2.7429,2.6216,1.9667,0.9992,9.8139,17.0798,2.6833,2.7012,47.048,0.5095,0.4883,7.1514,3.1239,0.4802
TCGA-04-1361,7.3553,3.5235,1.3763,1.11,13.4028,20.9676,5.5587,1.3647,24.993,0.1466,0.7308,55.1557,3.3931,0.5405
TCGA-04-1362,8.7454,2.7396,1.7036,1.7953,23.0326,6.8274,3.5372,0.628,38.1679,0.1003,1.2908,5.1433,2.5701,0.9375
TCGA-04-1364,8.4164,8.8543,1.475,0.8814,14.6113,16.1579,6.5882,0.3185,42.0763,2.2959,1.2005,32.0663,2.8657,1.0618
TCGA-04-1365,9.2078,3.6286,0.7861,1.1059,16.218,18.2403,7.8033,0.3554,24.466,1.9002,2.3856,33.986,4.2606,0.5223
TCGA-04-1514,3.1971,1.8566,1.7831,0.6996,3.9303,7.4877,3.147,5.1232,24.1149,2.2992,0.9287,41.142,4.9369,2.5814
TCGA-04-1517,3.3419,6.446,1.3592,2.0531,9.4898,16.3095,2.3956,1.1593,94.497,1.538,0.7712,4.568,2.8937,0.738
TCGA-04-1519,4.0032,1.9989,1.6592,0.7841,12.6825,11.8688,0.9796,1.2352,53.2334,0.6581,0.4735,42.7116,3.3856,0.2964
TCGA-04-1530,6.8016,3.1875,1.7236,1.3326,10.8708,16.8032,6.0533,0.4382,39.5748,3.2915,0.6633,36.6185,2.8608,1.6741
TCGA-04-1536,4.2346,2.7982,0.5306,1.3737,20.0361,27.393,4.0767,0.8121,70.6373,2.5867,0.6371,37.0881,3.7208,0.9025
TCGA-04-1542,4.0676,3.0643,1.4091,0.6869,18.0824,13.9914,2.5777,3.0523,56.5488,0.8215,0.2272,58.8528,3.5773,0.2138
TCGA-04-1648,3.2625,7.4081,1.4251,1.0235,16.5319,14.2654,0.8999,1.8721,30.5913,0.6505,0.1665,2.3634,4.046,0.2602
TCGA-04-1651,10.3696,5.8429,1.5305,0.5348,23.1651,20.7853,6.1687,0.9725,38.4246,0.0353,0.6171,5.6119,4.4559,1.2578
TCGA-04-1655,3.6957,2.4259,1.1794,1.0317,13.4294,9.7951,1.6728,0.7981,60.0812,0.8914,0.2805,35.2563,3.0793,0.3996
TCGA-09-0364,5.5666,4.1552,1.1583,0.9922,9.5537,12.9521,6.3033,2.6134,20.2754,1.9735,1.4012,30.5737,3.6894,1.0811
TCGA-09-0366,0.9049,2.9555,0.8303,0.9404,8.3947,15.9502,2.2586,1.0101,33.3696,0.7813,0.3921,19.9093,2.6429,0.2102
TCGA-09-0367,3.3585,4.1465,0.6988,0.5245,41.8169,22.6779,3.3402,0.485,77.5383,0.0454,0.2231,35.8963,2.971,0.1927
TCGA-09-0369,6.0762,4.0016,0.8725,0.6246,22.094,20.5461,5.7069,0.9559,33.0087,1.1943,0.6628,33.8688,3.0906,1.644
TCGA-09-1659,5.1829,5.3828,1.2342,1.0061,23.5372,23.6735,6.0283,0.3323,46.7846,1.2784,0.5686,5.9502,2.2968,0.9733
TCGA-09-1661,4.1988,2.086,2.299,0.6342,16.582,13.495,0.7963,7.1199,41.786,0.6289,0.2302,3.6486,3.328,0.3476
TCGA-09-1662,7.2256,3.2141,2.781,1.1408,10.5058,15.2557,7.9793,0.8312,40.6601,1.1278,1.1852,38.1369,5.6288,1.2976
TCGA-09-1665,2.5086,8.5604,1.7736,0.8937,15.2876,7.9641,6.8413,0.3763,54.0764,0.3789,1.0182,39.1395,3.3646,1.0146
TCGA-09-1666,9.1836,2.9453,1.5123,0.9008,16.0,14.755,4.0232,0.8389,43.364,0.4211,0.8511,28.1943,5.035,2.3779
TCGA-09-1667,6.6064,12.6802,1.0867,1.2447,8.1707,11.6319,7.077,0.8268,20.6687,1.7638,0.6116,39.2134,4.0674,1.0377
TCGA-09-1668,14.1977,2.9904,2.2769,1.3916,8.039,9.8578,3.6877,1.0227,36.1601,0.7619,0.7854,38.7842,4.0137,1.9468
TCGA-09-1669,11.1133,4.3749,2.4802,1.049,10.5543,18.276,3.3923,1.3081,30.1333,0.8107,0.9806,6.6497,5.3996,1.3274
TCGA-09-1670,4.8203,6.0534,1.6793,1.7876,9.0504,18.8995,3.8164,1.423,34.6592,1.3356,0.479,70.0663,2.8837,0.773
TCGA-09-1673,6.7374,4.8838,1.9838,0.9239,5.2975,5.197,10.4945,3.0035,14.8711,1.7948,0.8937,50.0842,5.8794,0.6397
TCGA-09-1674,20.5362,3.6522,1.254,0.9364,7.1236,7.9981,5.7706,1.1072,23.6678,5.5366,1.1608,3.7456,4.916,3.3488
TCGA-09-2044,4.7256,3.8522,0.5048,0.8887,17.0796,39.068,5.5261,0.5246,35.3919,0.138,0.628,3.1058,3.2814,1.5784
TCGA-09-2045,1.1533,1.5525,1.4148,0.944,11.6315,13.6365,1.7289,1.5115,33.7262,0.157,0.4963,21.3351,3.0003,0.3931
TCGA-09-2048,2.8391,3.8228,2.439,0.7276,24.7509,27.135,5.8614,1.1427,41.6608,1.7885,0.9978,57.4014,1.6604,2.4162
TCGA-09-2051,4.2408,6.6592,1.4972,1.5809,7.4078,15.6701,6.599,0.8593,17.7988,2.9037,1.2975,6.8627,6.0564,1.5197
TCGA-09-2053,4.2685,4.0642,1.5516,1.2812,12.0878,12.4795,3.5063,0.9423,51.9706,1.2674,1.3131,41.8971,1.8318,1.5216
TCGA-09-2054,8.4776,5.3885,2.4729,0.8205,8.9071,12.1028,7.7973,0.5992,18.1318,1.5574,0.9608,25.3619,6.0444,1.9646
TCGA-09-2056,1.4208,3.1665,0.4647,1.1343,21.1124,42.4515,3.5369,0.3015,56.9713,1.395,0.5981,26.3837,2.276,0.4832
TCGA-10-0926,3.9581,4.9155,0.7506,0.5408,25.5312,24.6464,4.3772,0.4058,48.9567,1.2829,0.5517,54.9695,3.5473,0.618
TCGA-10-0927,2.5271,1.53,1.1863,0.6376,15.7417,15.9045,1.6347,1.4212,36.5686,0.7004,0.4693,32.3869,2.7462,1.2171
TCGA-10-0928,4.0506,3.7903,1.1257,0.8103,14.871,8.1837,3.6813,1.6235,42.3836,0.0965,0.475,84.2375,1.6107,1.0641
TCGA-10-0931,4.6405,2.7095,1.2415,1.0387,19.9424,11.3715,4.9526,1.1026,33.9759,1.5213,0.4774,6.315,2.6095,1.842
TCGA-10-0933,8.0966,3.4375,1.0162,1.1116,12.0615,26.2742,7.984,2.1401,35.1945,2.8686,2.0273,5.2161,4.4801,2.2223
TCGA-10-0934,2.8125,4.2008,0.5759,0.7055,24.7422,20.3088,6.8576,0.0289,20.6291,1.5772,0.8078,35.3648,2.5969,0.6615
TCGA-10-0936,2.5208,3.3661,1.4646,1.3189,31.7956,20.8617,3.9845,0.2391,54.3424,2.1959,0.4061,41.2133,2.8447,0.6002
